subdir,file name,test class,timing (milseconds),res (true/false)
negative,zip00,Neg,timeout,F
negative,indirectHO01,Neg,0.79,T
negative,xyz2,Neg,timeout,F
negative,xy10,Neg,timeout,F
negative,01_ic3,Neg,0.47,T
negative,ex23,Neg,0.74,T
negative,inductive1-1,Neg,timeout,F
negative,repeat,Neg,timeout,F
negative,ack01false,Neg,timeout,F
negative,xyz,Neg,timeout,F
negative,zip_unzip,Neg,timeout,F
negative,xy4,Neg,timeout,F
negative,compose,Neg,0.24,T
negative,up_down01,Neg,timeout,F
negative,binomial00,Neg,0.34,T
high,map_2,Pos,11.5,T
high,flip_twice_1,Pos,timeout,F
high,fact_exn,Pos,timeout,F
high,inc,Pos,0.79,T
high,intro3,Pos,0.16,T
high,neg1,Pos,0.21,T
high,repeat_order,Pos,1.02,T
high,intro-ord2,Pos,0.98,T
high,foldr,Pos,17.7,T
high,sum_cps,Pos,1.64,T
high,sigma_sum,Pos,timeout,F
high,apply_twice,Pos,0.21,T
high,intro-ord3,Pos,0.88,T
high,intro2,Pos,0.17,T
high,repeat4,Pos,1.84,T
high,hors,Pos,0.16,T
high,repeat,Pos,6.94,T
high,intro1,Pos,0.14,T
high,app-lin-ord3,Pos,0.18,T
high,foldl,Pos,11.85,T
high,hrec,Pos,timeout,F
high,app-nonrec,Pos,0.16,T
high,app-lin-ord2,Pos,0.17,T
high,max,Pos,0.24,T
high,apply,Pos,0.76,T
high,twice,Pos,0.16,T
high,neg2,Pos,0.22,T
high,exception,Pos,0.19,T
high,power,Pos,1.72,T
high,mixed_id,Pos,0.23,T
high,app-succ,Pos,4.04,T
high,call_back,Pos,0.17,T
high,flip_twice_2,Pos,0.19,T
high,exc-fact,Pos,timeout,F
high,multi_compose,Pos,0.18,T
high,recursive,Pos,0.93,T
high,mc91_cps,Pos,timeout,F
high,exc-simple,Pos,0.19,T
first,inductive6-2,Pos,0.17,T
first,mc91_99,Pos,1.83,T
first,enc-rev_append-2,Pos,1.1,T
first,gib2,Pos,11.18,T
first,enc-zip3,Pos,timeout,F
first,substring2,Pos,14.34,T
first,half,Pos,timeout,F
first,mult,Pos,1.12,T
first,sum4,Pos,timeout,F
first,fxx,Pos,0.18,T
first,nested_loop,Pos,timeout,F
first,map,Pos,2.22,T
first,enc-zipmap,Pos,timeout,F
first,mc91_98,Pos,2.09,T
first,enc-zip_map2,Pos,timeout,F
first,inductive6,Pos,0.21,T
first,copy_intro,Pos,timeout,F
first,pldi082_unbounded1,Pos,timeout,F
first,inductivea,Pos,4.37,T
first,eq,Pos,timeout,F
first,flow,Pos,0.19,T
first,inductive2,Pos,0.75,T
first,inductive1-3,Pos,1.97,T
first,inductive3,Pos,0.65,T
first,enc-zip_map,Pos,timeout,F
first,inductive1-2,Pos,3.58,T
first,gulwani_cegar1,Pos,13.51,T
first,xyz2,Pos,1.72,T
first,xy10,Pos,2.59,T
first,01_ic3,Pos,0.21,T
first,hanoi,Pos,timeout,F
first,addition,Pos,11.05,T
first,sum,Pos,4.02,T
first,up_down_stair,Pos,timeout,F
first,up2,Pos,timeout,F
first,inductive1-1,Pos,6.26,T
first,mc91_95,Pos,1.44,T
first,inductive4,Pos,1.81,T
first,lock,Pos,0.2,T
first,mc91,Pos,timeout,F
first,xyz,Pos,1.88,T
first,enc-rev_accum,Pos,timeout,F
first,inductive5,Pos,0.88,T
first,seq-len,Pos,timeout,F
first,inductive3-2,Pos,2.31,T
first,pldi082_unbounded2,Pos,10.9,T
first,file,Pos,0.17,T
first,xy4,Pos,1.88,T
first,sum_intro,Pos,1.95,T
first,is_prime,Pos,timeout,F
first,for_bounded_loop1,Pos,3.03,T
first,map_map,Pos,1.25,T
first,xy0,Pos,0.18,T
first,prog2,Pos,0.91,T
first,sum3,Pos,1.75,T
first,fib,Pos,3.98,T
first,svd,Pos,timeout,F
first,ack,Pos,1.29,T
first,enc-zip,Pos,timeout,F
first,gcd,Pos,timeout,F
first,sum6,Pos,1.32,T
first,enc-zip4,Pos,4.83,T
first,recHanoi03,Pos,0.99,T
first,enc-rev_append-1,Pos,timeout,F
first,sum2,Pos,1.27,T
first,gib,Pos,10.49,T
first,mult_twice,Pos,timeout,F
first,seq-len1,Pos,timeout,F
first,substring1,Pos,13.23,T
array,a-copy-print,Pos,0.14,T
array,a-split,Pos,0.21,T
array,a-dropn,Pos,0.19,T
array,a-sub,Pos,0.17,T
array,bcopy,Pos,0.98,F
array,a-init1,Pos,0.17,T
array,a-map,Pos,0.52,F
array,a-iter,Pos,0.16,T
array,a-dotprod,Pos,0.15,T
array,a-reverse,Pos,0.16,T
array,a-mapi,Pos,0.9,F
array,a-init2,Pos,0.57,F
array,a-append,Pos,0.18,T
