subdir,file name,test class,timing (milseconds),res (true/false),domain
high,flip_twice_1,Pos,1403,F;IM,Oct
high,fact_exn,Pos,3439,T,Oct
high,inc,Pos,3904,T,Oct
high,intro3,Pos,104,T,Oct
high,neg1,Pos,291,F;IM,Oct
high,sum_cps,Pos,2077,T,Oct
high,sigma_sum,Pos,2032,T,Oct
high,intro2,Pos,85,T,Oct
high,repeat4,Pos,1444,T,Oct
high,hors,Pos,792,T,Oct
high,repeat,Pos,1975,T,Oct
high,intro1,Pos,81,T,Oct
high,app-lin-ord3,Pos,428,T,Oct
high,hrec,Pos,1607,T,Oct
high,app-nonrec,Pos,71,T,Oct
high,app-lin-ord2,Pos,123,T,Oct
high,max,Pos,342,T,Oct
high,apply,Pos,940,T,Oct
high,twice,Pos,1430,T,Oct
high,neg2,Pos,139,T,Oct
high,exception,Pos,72,T,Oct
high,power,Pos,4504,T,Oct
high,flip_twice_2,Pos,728,F;IM,Oct
high,exc-fact,Pos,2713,T,Oct
high,recursive,Pos,54,T,Oct
high,mc91_cps,Pos,1068,T,Oct
high,exc-simple,Pos,67,T,Oct
array,a-copy-print,Pos,2519,T,Oct
array,array_init,Pos,393,F;IM,Oct
array,bcopy,Pos,469,T,Oct
array,a-dotprod,Pos,1038,F;IM,Oct
array,a-init,Pos,520,F;IM,Oct
first,mc91_99,Pos,270,F;IM,Oct
first,enc-rev_append-2,Pos,151,T,Oct
first,gib2,Pos,5698,T,Oct
first,enc-zip3,Pos,2494,T,Oct
first,substring2,Pos,128,T,Oct
first,mult,Pos,1788,T,Oct
first,sum4,Pos,1116,F;IM,Oct
first,fxx,Pos,31,T,Oct
first,map,Pos,1055,T,Oct
first,enc-zipmap,Pos,4616,T,Oct
first,lcm,Pos,512,F;IM,Oct
first,mc91_98,Pos,168,F;IM,Oct
first,enc-zip_map2,Pos,3343,T,Oct
first,inductive6,Pos,58,T,Oct
first,copy_intro,Pos,1120,T,Oct
first,pldi082_unbounded1,Pos,3173,T,Oct
first,flow,Pos,17,T,Oct
first,inductive2,Pos,36,T,Oct
first,inductive1-3,Pos,555,T,Oct
first,inductive3,Pos,49,T,Oct
first,enc-zip_map,Pos,1158,T,Oct
first,inductive1-2,Pos,294,T,Oct
first,xyz2,Pos,7224,F;IM,Oct
first,xy10,Pos,2982,T,Oct
first,01_ic3,Pos,320,T,Oct
first,sum,Pos,1054,T,Oct
first,up_down_stair,Pos,6938,F;IM,Oct
first,up2,Pos,3614,T,Oct
first,inductive1-1,Pos,784,T,Oct
first,mc91_95,Pos,129,F;IM,Oct
first,inductive4,Pos,307,T,Oct
first,lock,Pos,230,T,Oct
first,mc91,Pos,272,F;IM,Oct
first,xyz,Pos,6495,F;IM,Oct
first,enc-rev_accum,Pos,1489,T,Oct
first,inductive5,Pos,54,T,Oct
first,inductive3-2,Pos,43,T,Oct
first,pldi082_unbounded2,Pos,171,T,Oct
first,file,Pos,1149,T;UR,Oct
first,xy4,Pos,3852,F;IM,Oct
first,sum_intro,Pos,1537,T,Oct
first,map_map,Pos,1075,T,Oct
first,xy0,Pos,1161,T,Oct
first,prog2,Pos,344,T,Oct
first,sum3,Pos,1206,F;IM,Oct
first,fib,Pos,1255,T,Oct
first,svd,Pos,17710,T,Oct
first,ack,Pos,4133,T,Oct
first,enc-zip,Pos,3615,T,Oct
first,gcd,Pos,374,T,Oct
first,enc-zip4,Pos,3689,T,Oct
first,recHanoi03,Pos,1333,T,Oct
first,enc-rev_append-1,Pos,273,T,Oct
first,sum2,Pos,1130,F;IM,Oct
first,gib,Pos,5530,T,Oct
first,seq-len1,Pos,16679,T,Oct
first,substring1,Pos,1425,T,Oct
negative,zip00,Pos,26835,F;IM,Oct
negative,indirectHO01,Pos,17988,F,Oct
negative,xyz2,Pos,7346,F;IM,Oct
negative,xy10,Pos,3067,F,Oct
negative,01_ic3,Pos,123,F,Oct
negative,ex23,Pos,97,F,Oct
negative,inductive1-1,Pos,704,F,Oct
negative,repeat,Pos,1753,T,Oct
negative,xyz,Pos,6098,F;IM,Oct
negative,zip_unzip,Pos,4280,T,Oct
negative,xy4,Pos,3590,F,Oct
negative,Ackermann00,Pos,27325,T,Oct
negative,compose,Pos,78,F,Oct
negative,up_down01,Pos,24665,T,Oct
negative,binomial00,Pos,32949,T,Oct
universe,id,Pos,85,F,Oct
universe,idc1,Pos,3370,T,Oct
universe,sigma_sum,Pos,2943,T,Oct
universe,repeat4,Pos,2085,T,Oct
universe,ack00,Pos,68458,F;IM,Oct
universe,idc2,Pos,4857,T,Oct
universe,gcd,Pos,235,T,Oct
universe,fib_u,Pos,1490,T,Oct
