tool		drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo
run set		NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOtrue-TRdirect.evdrifttasks
../../tests/effects/		status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)
all-ev-pos.yml	all-ev-pos.yml	unknown	0.293364	0.2956702201627195	unknown	0.31554	0.5847183880396187	true	0.176917	0.17877077916637063	true	0.180055	0.2283904729411006	true	0.872552	1.1859784410335124	true	0.85507	1.2018615710549057	true	0.404488	0.4127719379030168	true	0.360681	0.3624270730651915	true	1.068801	1.357588378014043	true	1.015359	1.153828389942646	true	0.385531	0.39002789510414004	true	0.380964	0.3837443708907813
disj.yml	disj.yml	true	5.326171	5.333111774874851	true	6.183825	7.508960806997493	unknown	1.775663	1.7774230330251157	unknown	1.739191	3.0955040459521115	true	5.634377	5.641496647149324	true	6.572704	8.453955014934763	unknown	2.311667	2.7047043789643794	unknown	2.31799	4.997499648015946	true	10.272988	12.248120880918577	true	10.341844	10.998557758051902	unknown	3.759829	4.114328662166372	unknown	3.912864	7.204870232148096
last-ev-even.yml	last-ev-even.yml	unknown	1.050571	2.331872119801119	unknown	1.004074	1.006614605197683	unknown	0.442281	2.7744604519102722	unknown	0.404617	2.6489127092063427	unknown	2.590188	2.9864835389889777	unknown	2.55011	2.569088313030079	unknown	1.007431	3.5842168668750674	unknown	0.96663	4.569624419091269	true	5.635402	8.800271200016141	true	5.519744	7.211298134876415	unknown	2.073079	4.219865676946938	unknown	2.189874	6.533164750086144
lics18-amortized.yml	lics18-amortized.yml	unknown	20.23467	21.346868946915492	unknown	20.366207	20.379890081007034	true	6.32135	7.496066664112732	true	6.466942	6.474649150157347	unknown	68.662101	69.44654545211233	unknown	69.409647	72.81872659805231	true	15.870805	20.07075412198901	true	15.805834	16.907920088851824	unknown	68.848746	72.00583362788893	unknown	69.324163	72.01291759801097	true	15.766468	16.11436881800182	true	16.154351	18.17397725698538
lics18-web.yml	lics18-web.yml	unknown	10.258756	10.262734445976093	unknown	10.567889	10.573243282036856	true	7.207038	8.518275546142831	true	7.449842	7.452845396939665	unknown	58.952361	59.70604199799709	unknown	59.675417	60.086879540933296	true	23.777629	27.52717473800294	true	23.894406	25.785049103898928	unknown	59.194951	62.74323484301567	unknown	59.557445	61.58807785692625	true	23.558544	25.35177676100284	true	23.83089	24.46640056394972
max-min.yml	max-min.yml	unknown	24.387175	27.12685677781701	unknown	24.351546	25.670716661959887	unknown	3.72786	4.321925435913727	unknown	3.766896	5.140435888199136	unknown	28.195133	30.519254218088463	unknown	28.453827	29.593997708056122	unknown	6.310901	10.041142602916807	unknown	6.285004	6.653013851027936	true	48.573146	51.34679336613044	true	48.284546	50.327632216969505	true	30.379013	30.71659810305573	true	30.099569	33.4266135240905
monotonic.yml	monotonic.yml	true	0.922592	3.966008462011814	true	0.957336	2.004572390811518	true	0.355693	2.7038148841820657	true	0.348777	1.1515435569453984	unknown	2.260647	4.1622285570483655	unknown	2.155972	2.160052377032116	true	0.586907	3.056217627134174	true	0.542884	3.6564227549824864	unknown	2.441908	3.2002100800164044	unknown	2.315941	4.6770533518865705	true	0.486813	0.4885607201140374	true	0.486281	2.2416819280479103
nondet_max.yml	nondet_max.yml	unknown	1.682414	1.686249002814293	unknown	1.90019	2.682899800129235	true	0.58568	3.2644397001713514	true	0.605533	1.4513825529720634	unknown	4.707503	4.715884404024109	unknown	5.516591	8.163498350186273	true	1.068956	2.320826373063028	true	1.042466	2.9266063140239567	unknown	5.587286	6.75782529800199	unknown	5.550511	7.965490726055577	true	1.026357	3.86454296996817	true	0.994667	5.0019842479377985
num_evens.yml	num_evens.yml	unknown	1.80384	2.078117036027834	unknown	1.906554	3.012899718945846	unknown	0.934989	1.8205370400100946	unknown	0.896802	1.1203685810323805	true	4.060588	4.437224547145888	true	4.204773	7.98574998206459	true	2.464041	4.944478360936046	true	2.342331	5.6068086749874055	true	7.460747	10.639003189979121	true	7.236554	7.5662993639707565	true	4.495096	7.343768161954358	true	4.525202	6.850877360906452
order-irrel-nondet.yml	order-irrel-nondet.yml	unknown	6.187382	7.2807911317795515	unknown	6.256555	7.589005291927606	unknown	1.13781	3.794613478006795	unknown	1.134409	2.500626499997452	unknown	10.265835	11.026453013066202	unknown	10.38863	12.686991446884349	unknown	2.009448	2.4116929650772363	unknown	1.993736	6.297017920995131	true	8.379331	8.749964246992022	true	8.323856	11.031206531915814	true	2.186838	2.5138512740377337	true	1.838633	3.254009340889752
order-irrel.yml	order-irrel.yml	unknown	1.629304	2.6385329640470445	unknown	1.667458	2.7109519650693983	unknown	0.524309	1.982244268991053	unknown	0.501287	0.5032084521371871	unknown	3.384736	3.390143244061619	unknown	3.60536	7.385905858129263	unknown	0.893302	1.7094787240494043	unknown	0.822816	2.3287037881091237	true	3.798475	5.381821957184002	true	3.538806	4.677430309122428	unknown	1.740449	2.460417312104255	unknown	1.767924	5.434181143995374
sum-of-ev-even.yml	sum-of-ev-even.yml	true	0.322838	0.858004871988669	true	0.323764	0.6014892018865794	unknown	0.127488	1.2950408079195768	unknown	0.132547	0.6271142098121345	true	0.663976	2.9661129540763795	true	0.678798	0.6805870209354907	unknown	0.287725	3.1756270981859416	unknown	0.272332	3.464912259951234	true	0.694005	1.8573193978518248	true	0.669187	1.4370667389594018	unknown	0.296352	2.7787692798301578	unknown	0.29583	4.993782924953848
temperature.yml	temperature.yml	true	6.058553	6.867210790980607	true	6.082188	6.624570447020233	unknown	2.364185	3.3529581031762064	unknown	2.341135	2.5665078088641167	true	12.019193	14.713173514930531	true	12.115996	15.886514428071678	unknown	3.12399	3.1267221430316567	unknown	3.140841	7.459994927048683	true	17.537068	18.28979323594831	true	17.556223	18.691851174924523	unknown	5.165333	7.666470153955743	unknown	5.17401	6.8091079839505255
